time,a,e,radius1,radius2,m1,m2,stype1,stype2,eventString,dm1,dm2,stype_pair
3.471163500687003,1416.620718742793,0.0,1.5453777064382797,137.91534931878576,21.18633457663192,64.69008155949987,7,2,HeMS + HG,0.0,0.0,
3.471180151618003,1416.6900366909779,0.0,1.5453581873174786,140.19960616093582,21.185719916581178,64.68758391984989,7,2,HeMS + HG,0.0,0.0,
3.471196802549003,1416.7593546391627,0.0,1.5453386681966776,142.48386300308584,21.185105256530438,64.68508628019988,7,2,HeMS + HG,0.0,0.0,
3.471213453480003,1416.8286725873472,0.0,1.5453191490758764,144.7681198452359,21.184490596479694,64.68258864054988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471305030023003,1417.2098977172166,0.0,1.5452118285230145,159.24667931841697,21.18111140044867,64.66885215909988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471396604191003,1417.5911061998106,0.0,1.5451045310058829,175.17368290419728,21.17773315982846,64.65511603389989,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471488175990003,1417.9722975085392,0.0,1.5449972564972567,192.6940753917377,21.174355874108883,64.64138026404989,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471579745426003,1418.3534712264313,0.0,1.544890004969901,211.96731037309186,21.17097954278005,64.62764484864988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471671312504003,1418.7346270230396,0.0,1.544782776397745,233.1688027544843,21.16760416536921,64.61390978694988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471762877229003,1419.115764642945,0.0,1.5446755707547073,256.49152716450516,21.164229741403854,64.60017507819988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.4718544396060027,1419.4968838928003,0.0,1.5445683880146968,282.14777627974354,21.16085627041172,64.58644072164988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471871086671821,1419.5661732418098,0.0,1.5445489064812121,287.53601551772476,21.160243171799767,64.58394366177714,7,2,HeMS + HG,0.0,0.0,
3.471887733737639,1419.6354625908198,0.0,1.5445294249477275,292.924254755706,21.15963007318781,64.58144660190442,7,2,HeMS + HG,0.0,0.0,
3.4719043808034575,1419.7047519398295,0.0,1.544509943414243,298.3124939936872,21.159016974575856,64.5789495420317,7,2,HeMS + HG,0.0,0.0,
3.471921027869276,1419.7740412888393,0.0,1.5444904618807582,303.70073323166844,21.1584038759639,64.57645248215897,7,2,HeMS + HG,0.0,0.0,
3.471937674935093,1419.8433306378488,0.0,1.5444709803472736,309.08897246964966,21.157790777351945,64.57395542228625,7,2,HeMS + HG,0.0,0.0,
3.471954322000912,1419.9126199868588,0.0,1.5444514988137892,314.4772117076309,21.15717767873999,64.57145836241352,7,2,HeMS + HG,0.0,0.0,
3.47197096906673,1419.9819093358685,0.0,1.5444320172803048,319.8654509456121,21.156564580128034,64.56896130254079,7,2,HeMS + HG,0.0,0.0,
3.4719876161325485,1420.0511986848783,0.0,1.5444125357468201,325.2536901835934,21.15595148151608,64.56646424266806,7,2,HeMS + HG,0.0,0.0,
3.4720042631983663,1420.1204880338878,0.0,1.5443930542133355,330.6419294215746,21.155338382904127,64.56396718279534,7,2,HeMS + HG,0.0,0.0,
3.4720209102641846,1420.1897773828978,0.0,1.5443735726798509,336.03016865955584,21.15472528429217,64.5614701229226,7,2,HeMS + HG,0.0,0.0,
3.472037557330003,1420.2590667319075,0.0,1.5443540911463662,341.41840789753707,21.154112185680216,64.55897306304988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472129112685003,1420.6401301489968,0.0,1.5442469769681548,375.57236308003917,21.15074157107105,64.54523975979987,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472220665707003,1421.021174834154,0.0,1.5441398855943564,413.1439052990086,21.147371907732346,64.53150680649986,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472312216398003,1421.4022007637343,0.0,1.5440328170023372,454.4751105249137,21.14400319530331,64.51777420284986,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472403764762003,1421.7832079423586,0.0,1.543925771167114,499.9423050299465,21.140635433349686,64.50404194824986,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472495310801003,1422.1641963828274,0.0,1.5438187480660286,549.9594937194493,21.13726862151099,64.49031004239987,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472586854517003,1422.5451661116176,0.0,1.5437117476764124,604.9821346529349,21.13390275942686,64.47657848499986,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.4726326252150033,1422.7356180340448,0.0,1.5436582611982086,634.5249872317866,21.132220303063583,64.46971288029987,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.472706795894003,1423.0442322621466,0.0,1.5435715988659824,685.4943246038982,21.12949439140144,64.45858727844987,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.4727092761849123,1333.9585844609544,0.0,1.54768684478146,623.3334614820178,21.236251553990115,61.071458092703814,7,2,HeMS + HG,0.0,0.0,
3.4727117564758214,1244.872936659762,0.0,1.5518020906969379,561.1725983601373,21.343008716578794,57.68432890695777,7,2,HeMS + HG,0.0,0.0,
3.4727142367667305,1155.78728885857,0.0,1.5559173366124157,499.01173523825696,21.449765879167476,54.29719972121171,7,2,HeMS + HG,0.0,0.0,
3.4727167170576396,1066.7016410573776,0.0,1.5600325825278933,436.8508721163765,21.55652304175615,50.910070535465664,7,2,HeMS + HG,0.0,0.0,
3.4727191973485487,977.6159932561854,0.0,1.564147828443371,374.6900089944961,21.66328020434483,47.52294134971961,7,2,HeMS + HG,0.0,0.0,
3.472721677639458,888.5303454549933,0.0,1.5682630743588488,312.5291458726157,21.770037366933508,44.13581216397357,7,2,HeMS + HG,0.0,0.0,
3.472724157930367,799.4446976538011,0.0,1.5723783202743267,250.36828275073526,21.876794529522186,40.74868297822751,7,2,HeMS + HG,0.0,0.0,
3.472726638221276,710.3590498526088,0.0,1.5764935661898043,188.2074196288548,21.983551692110865,37.36155379248146,7,2,HeMS + HG,0.0,0.0,
3.472729118512185,621.2734020514165,0.0,1.580608812105282,126.04655650697435,22.090308854699543,33.97442460673541,7,2,HeMS + HG,0.0,0.0,
